id,measure_type_id,start_date,adtnl_cd_type_id,adtnl_cd,geo_area_id,goods_nom_item_id,measure_sid,deleted
20355,VTZ,2007-10-01 00:00:00,nil,nil,1011,0810600000,-11661,0
20357,VTZ,2007-10-01 00:00:00,nil,nil,1011,0810904000,-11662,0
20359,VTZ,2010-02-23 00:00:00,nil,nil,1011,0810905000,-93546,0
20361,VTZ,2010-02-23 00:00:00,nil,nil,1011,0810906000,-93549,0
20363,VTZ,2010-02-23 00:00:00,nil,nil,1011,0810907000,-93550,0
20365,VTZ,2007-10-01 00:00:00,nil,nil,1011,0810909510,-11666,0
20367,VTZ,2010-02-23 00:00:00,nil,nil,1011,0810909530,-93560,0
20369,VTZ,2010-02-23 00:00:00,nil,nil,1011,0810909540,-88160,0
20371,VTZ,2010-02-23 00:00:00,nil,nil,1011,0810909550,-93561,0
20373,VTZ,2010-02-23 00:00:00,nil,nil,1011,0810909560,-93562,0
20375,VTZ,2010-02-23 00:00:00,nil,nil,1011,0810909590,-93564,0
20377,VTZ,2007-10-01 00:00:00,nil,nil,1011,0811101100,-11672,0
20379,VTZ,2007-10-01 00:00:00,nil,nil,1011,0811101900,-11673,0
20381,VTZ,2007-10-01 00:00:00,nil,nil,1011,0811109000,-11674,0
20383,VTZ,2007-10-01 00:00:00,nil,nil,1011,0811201100,-11675,0
20385,VTZ,2007-10-01 00:00:00,nil,nil,1011,0811201900,-11676,0
20387,VTZ,2007-10-01 00:00:00,nil,nil,1011,0811203100,-11677,0
20389,VTZ,2007-10-01 00:00:00,nil,nil,1011,0811203900,-11678,0
20391,VTZ,2007-10-01 00:00:00,nil,nil,1011,0811205100,-11679,0
20393,VTZ,2007-10-01 00:00:00,nil,nil,1011,0811205900,-11680,0
20395,VTZ,2007-10-01 00:00:00,nil,nil,1011,0811209000,-11681,0
20397,VTZ,2007-10-01 00:00:00,nil,nil,1011,0811901100,-11682,0
20399,VTZ,2010-02-23 00:00:00,nil,nil,1011,0811901911,-88162,0
20401,VTZ,2007-10-01 00:00:00,nil,nil,1011,0811901912,-11684,0
20403,VTZ,2007-10-01 00:00:00,nil,nil,1011,0811901990,-11685,0
20405,VTZ,2007-10-01 00:00:00,nil,nil,1011,0811903100,-11686,0
20407,VTZ,2010-02-23 00:00:00,nil,nil,1011,0811903911,-88163,0
20409,VTZ,2007-10-01 00:00:00,nil,nil,1011,0811903912,-11688,0
20411,VTZ,2007-10-01 00:00:00,nil,nil,1011,0811903990,-11689,0
20413,VTZ,2007-10-01 00:00:00,nil,nil,1011,0811905000,-11690,0
20415,VTZ,2007-10-01 00:00:00,nil,nil,1011,0811907000,-11691,0
20417,VTZ,2007-10-01 00:00:00,nil,nil,1011,0811907500,-11692,0
20419,VTZ,2007-10-01 00:00:00,nil,nil,1011,0811908000,-11693,0
20421,VTZ,2007-10-01 00:00:00,nil,nil,1011,0811908500,-11694,0
20423,VTZ,2007-10-01 00:00:00,nil,nil,1011,0811909520,-11695,0
20425,VTZ,2007-10-01 00:00:00,nil,nil,1011,0811909530,-11696,0
20427,VTZ,2007-10-01 00:00:00,nil,nil,1011,0811909540,-11697,0
20429,VTZ,2010-02-23 00:00:00,nil,nil,1011,0811909561,-88164,0
20431,VTZ,2010-02-23 00:00:00,nil,nil,1011,0811909565,-88165,0
20433,VTZ,2010-02-23 00:00:00,nil,nil,1011,0811909569,-88166,0
20435,VTZ,2010-02-23 00:00:00,nil,nil,1011,0811909575,-88168,0
20437,VTZ,2007-10-01 00:00:00,nil,nil,1011,0811909590,-11702,0
20439,VTZ,2007-10-01 00:00:00,nil,nil,1011,0812100000,-11703,0
20441,VTS,2011-01-04 00:00:00,nil,nil,1011,0812100000,-73319,0
20443,VTZ,2010-02-23 00:00:00,nil,nil,1011,0812901000,-93565,0
20445,VTS,2011-01-04 00:00:00,nil,nil,1011,0812901000,-73320,0
20447,VTS,2011-01-04 00:00:00,nil,nil,1011,0812902010,-73322,0
20449,VTZ,2010-02-23 00:00:00,nil,nil,1011,0812902010,-93567,0
20451,VTZ,2010-02-23 00:00:00,nil,nil,1011,0812902090,-93568,0
20453,VTS,2011-01-04 00:00:00,nil,nil,1011,0812902090,-73323,0
20455,VTS,2011-01-04 00:00:00,nil,nil,1011,0812903000,-73324,0
20457,VTZ,2007-10-01 00:00:00,nil,nil,1011,0812903000,-11712,0
20459,VTS,2011-01-04 00:00:00,nil,nil,1011,0812904000,-73325,0
20461,VTZ,2007-10-01 00:00:00,nil,nil,1011,0812904000,-11714,0
20463,VTZ,2007-10-01 00:00:00,nil,nil,1011,0812907000,-11715,0
20465,VTS,2011-01-04 00:00:00,nil,nil,1011,0812907000,-73326,0
20467,VTZ,2007-10-01 00:00:00,nil,nil,1011,0812909811,-11717,0
20469,VTZ,2007-10-01 00:00:00,nil,nil,1011,0812909819,-11718,0
20471,VTZ,2007-10-01 00:00:00,nil,nil,1011,0812909820,-11719,0
20473,VTS,2008-12-01 00:00:00,nil,nil,1011,0812909830,-37314,0
20475,VTZ,2007-10-01 00:00:00,nil,nil,1011,0812909830,-11721,0
20477,VTZ,2007-10-01 00:00:00,nil,nil,1011,0812909840,-11722,0
20479,VTS,2008-12-01 00:00:00,nil,nil,1011,0812909840,-37315,0
20481,VTZ,2007-10-01 00:00:00,nil,nil,1011,0812909850,-11724,0
20483,VTS,2008-12-01 00:00:00,nil,nil,1011,0812909850,-37316,0
20485,VTZ,2007-10-01 00:00:00,nil,nil,1011,0812909890,-11726,0
20487,VTZ,2007-10-01 00:00:00,nil,nil,1011,0813100000,-11727,0
20489,VTZ,2007-10-01 00:00:00,nil,nil,1011,0813200000,-11728,0
20491,VTZ,2007-10-01 00:00:00,nil,nil,1011,0813300000,-11729,0
20493,VTZ,2007-10-01 00:00:00,nil,nil,1011,0813401000,-11730,0
20495,VTZ,2007-10-01 00:00:00,nil,nil,1011,0813403000,-11731,0
20497,VTZ,2007-10-01 00:00:00,nil,nil,1011,0813405000,-11732,0
20499,VTZ,2007-10-01 00:00:00,nil,nil,1011,0813406000,-11733,0
20501,VTZ,2007-10-01 00:00:00,nil,nil,1011,0813407000,-11734,0
20503,VTZ,2007-10-01 00:00:00,nil,nil,1011,0813409500,-11735,0
20505,VTZ,2007-10-01 00:00:00,nil,nil,1011,0813501200,-11736,0
20507,VTZ,2007-10-01 00:00:00,nil,nil,1011,0813501500,-11737,0
20509,VTZ,2007-10-01 00:00:00,nil,nil,1011,0813501900,-11738,0
20511,VTZ,2010-02-01 00:00:00,nil,nil,1011,0813503900,-69659,0
20513,VTZ,2007-10-01 00:00:00,nil,nil,1011,0813509110,-11740,0
20515,VTZ,2007-10-01 00:00:00,nil,nil,1011,0813509190,-11741,0
20517,VTZ,2010-02-01 00:00:00,nil,nil,1011,0813509900,-69661,0
20519,VTZ,2007-10-01 00:00:00,nil,nil,1011,0814000000,-11743,0
20521,VTZ,2007-10-01 00:00:00,nil,nil,1011,0901110000,-11744,0
20523,VTZ,2007-10-01 00:00:00,nil,nil,1011,0901120000,-11745,0
20525,VTZ,2007-10-01 00:00:00,nil,nil,1011,0901210000,-11746,0
20527,VTZ,2007-10-01 00:00:00,nil,nil,1011,0901220000,-11747,0
20529,VTZ,2007-10-01 00:00:00,nil,nil,1011,0901901000,-11748,0
20531,VTZ,2007-10-01 00:00:00,nil,nil,1011,0901909000,-11749,0
20533,VTZ,2012-07-01 00:00:00,nil,nil,1011,0902100000,-97925,0
20535,VTZ,2012-07-01 00:00:00,nil,nil,1011,0902200000,-97926,0
20537,VTZ,2012-07-01 00:00:00,nil,nil,1011,0902300000,-97927,0
20539,VTZ,2012-07-01 00:00:00,nil,nil,1011,0902400000,-97928,0
20541,VTZ,2007-10-01 00:00:00,nil,nil,1011,0903000000,-11754,0
20543,VTZ,2007-10-01 00:00:00,nil,nil,1011,0904110000,-11755,0
20545,VTZ,2007-10-01 00:00:00,nil,nil,1011,0904120000,-11756,0
20547,VTZ,2011-02-01 00:00:00,nil,nil,1011,0904201000,-86912,0
20549,VTZ,2010-02-23 00:00:00,nil,nil,1011,0904203000,-93577,0
20551,VTZ,2011-01-01 00:00:00,nil,nil,1011,0904209000,-71716,0
20553,VTZ,2010-02-23 00:00:00,nil,nil,1011,0905000000,-93583,0
20555,VTZ,2007-10-01 00:00:00,nil,nil,1011,0906110000,-11761,0
20557,VTZ,2007-10-01 00:00:00,nil,nil,1011,0906190000,-11762,0
20559,VTZ,2007-10-01 00:00:00,nil,nil,1011,0906200000,-11763,0
20561,VTZ,2010-02-23 00:00:00,nil,nil,1011,0907000000,-93586,0
20563,VTZ,2010-02-23 00:00:00,nil,nil,1011,0908100000,-93589,0
20565,VTZ,2010-02-23 00:00:00,nil,nil,1011,0908200000,-93592,0
20567,VTZ,2010-02-23 00:00:00,nil,nil,1011,0908300000,-93595,0
20569,VTZ,2010-02-23 00:00:00,nil,nil,1011,0909100000,-93598,0
20571,VTZ,2010-02-23 00:00:00,nil,nil,1011,0909200000,-93599,0
20573,VTZ,2010-02-23 00:00:00,nil,nil,1011,0909300000,-93602,0
20575,VTZ,2010-02-23 00:00:00,nil,nil,1011,0909400000,-93605,0
20577,VTZ,2010-02-23 00:00:00,nil,nil,1011,0909500000,-93606,0
20579,VTS,2011-01-04 00:00:00,nil,nil,1011,0910100000,-73328,0
20581,VTZ,2010-02-23 00:00:00,nil,nil,1011,0910100000,-93609,0
20583,VTS,2011-01-04 00:00:00,nil,nil,1011,0910201000,-73329,0
20585,VTZ,2007-10-01 00:00:00,nil,nil,1011,0910201000,-11776,0
20587,VTS,2011-01-04 00:00:00,nil,nil,1011,0910209000,-73330,0
20589,VTZ,2007-10-01 00:00:00,nil,nil,1011,0910209000,-11778,0
20591,VTZ,2007-10-01 00:00:00,nil,nil,1011,0910300000,-11779,0
20593,VTS,2011-01-04 00:00:00,nil,nil,1011,0910300000,-73331,0
20595,VTZ,2007-10-01 00:00:00,nil,nil,1011,0910911000,-11781,0
20597,VTS,2011-01-04 00:00:00,nil,nil,1011,0910911000,-73333,0
20599,VTS,2011-01-04 00:00:00,nil,nil,1011,0910919000,-73334,0
20601,VTZ,2007-10-01 00:00:00,nil,nil,1011,0910919000,-11784,0
20603,VTZ,2007-10-01 00:00:00,nil,nil,1011,0910991000,-11785,0
20605,VTS,2011-01-04 00:00:00,nil,nil,1011,0910991000,-73335,0
20607,VTZ,2007-10-01 00:00:00,nil,nil,1011,0910993100,-11787,0
20609,VTZ,2007-10-01 00:00:00,nil,nil,1011,0910993300,-11788,0
20611,VTZ,2007-10-01 00:00:00,nil,nil,1011,0910993900,-11789,0
20613,VTZ,2007-10-01 00:00:00,nil,nil,1011,0910995000,-11790,0
20615,VTZ,2007-10-01 00:00:00,nil,nil,1011,0910996000,-11791,0
20617,VTS,2008-12-01 00:00:00,nil,nil,1011,0910996000,-37324,0
20619,VTZ,2007-10-01 00:00:00,nil,nil,1011,0910999100,-11793,0
20621,VTS,2011-01-04 00:00:00,nil,nil,1011,0910999100,-73336,0
20623,VTS,2011-01-04 00:00:00,nil,nil,1011,0910999900,-73337,0
20625,VTZ,2007-10-01 00:00:00,nil,nil,1011,0910999900,-11796,0
20627,VTZ,2010-02-23 00:00:00,nil,nil,1011,1001100012,-93616,0
20629,VTZ,2010-02-23 00:00:00,nil,nil,1011,1001100018,-93618,0
20631,VTZ,2010-02-23 00:00:00,nil,nil,1011,1001100020,-93620,0
20633,VTZ,2010-02-23 00:00:00,nil,nil,1011,1001100030,-93621,0
20635,VTZ,2010-02-23 00:00:00,nil,nil,1011,1001901000,-93641,0
20637,VTZ,2010-02-23 00:00:00,nil,nil,1011,1001909110,-93644,0
20639,VTZ,2010-02-23 00:00:00,nil,nil,1011,1001909120,-93647,0
20641,VTZ,2010-02-23 00:00:00,nil,nil,1011,1001909912,-93650,0
20643,VTZ,2010-02-23 00:00:00,nil,nil,1011,1001909914,-93652,0
20645,VTZ,2010-02-23 00:00:00,nil,nil,1011,1001909916,-93654,0
20647,VTZ,2010-02-23 00:00:00,nil,nil,1011,1001909918,-93656,0
20649,VTZ,2010-02-23 00:00:00,nil,nil,1011,1001909920,-93657,0
20651,VTZ,2010-02-23 00:00:00,nil,nil,1011,1001909930,-93660,0
20653,VTZ,2010-02-23 00:00:00,nil,nil,1011,1001909990,-93662,0
20655,VTZ,2010-02-23 00:00:00,nil,nil,1011,1002000000,-93688,0
18845,VTZ,2007-10-01 00:00:00,nil,nil,1011,0304999950,-10906,0
18847,VTZ,2010-02-23 00:00:00,nil,nil,1011,0304999960,-92735,0
18849,VTZ,2007-10-01 00:00:00,nil,nil,1011,0304999965,-10908,0
18851,VTZ,2007-10-01 00:00:00,nil,nil,1011,0304999969,-10909,0
18853,VTZ,2007-10-01 00:00:00,nil,nil,1011,0304999970,-10910,0
18855,VTZ,2010-02-23 00:00:00,nil,nil,1011,0304999981,-92737,0
18857,VTZ,2010-02-23 00:00:00,nil,nil,1011,0304999989,-92742,0
18859,VTZ,2007-10-01 00:00:00,nil,nil,1011,0304999991,-10913,0
18861,VTZ,2007-10-01 00:00:00,nil,nil,1011,0304999999,-10914,0
18863,VTZ,2007-10-01 00:00:00,nil,nil,1011,0305100010,-10915,0
18865,VTZ,2007-10-01 00:00:00,nil,nil,1011,0305100020,-10916,0
18867,VTZ,2007-10-01 00:00:00,nil,nil,1011,0305100030,-10917,0
18869,VTZ,2007-10-01 00:00:00,nil,nil,1011,0305100040,-10918,0
18871,VTZ,2007-10-01 00:00:00,nil,nil,1011,0305100060,-10919,0
18873,VTZ,2007-10-01 00:00:00,nil,nil,1011,0305100090,-10920,0
18875,VTZ,2007-10-01 00:00:00,nil,nil,1011,0305200011,-10921,0
18877,VTZ,2007-10-01 00:00:00,nil,nil,1011,0305200018,-10922,0
18879,VTZ,2007-10-01 00:00:00,nil,nil,1011,0305200019,-10923,0
18881,VTZ,2007-10-01 00:00:00,nil,nil,1011,0305200021,-10924,0
18883,VTZ,2007-10-01 00:00:00,nil,nil,1011,0305200030,-10925,0
18885,VTZ,2007-10-01 00:00:00,nil,nil,1011,0305200072,-10926,0
18887,VTZ,2007-10-01 00:00:00,nil,nil,1011,0305200073,-10927,0
18889,VTZ,2007-10-01 00:00:00,nil,nil,1011,0305200074,-10928,0
18891,VTZ,2007-10-01 00:00:00,nil,nil,1011,0305200075,-10929,0
18893,VTZ,2007-10-01 00:00:00,nil,nil,1011,0305200076,-10930,0
18895,VTZ,2007-10-01 00:00:00,nil,nil,1011,0305200077,-10931,0
18897,VTZ,2007-10-01 00:00:00,nil,nil,1011,0305200078,-10932,0
18899,VTZ,2007-10-01 00:00:00,nil,nil,1011,0305200079,-10933,0
18901,VTZ,2007-10-01 00:00:00,nil,nil,1011,0305200096,-10934,0
18903,VTZ,2007-10-01 00:00:00,nil,nil,1011,0305200099,-10935,0
18905,VTZ,2010-02-23 00:00:00,nil,nil,1011,0305301100,-92745,0
18907,VTZ,2010-02-23 00:00:00,nil,nil,1011,0305301930,-92749,0
18909,VTZ,2010-02-23 00:00:00,nil,nil,1011,0305301970,-92750,0
18911,VTZ,2010-02-23 00:00:00,nil,nil,1011,0305303010,-92756,0
18913,VTZ,2010-02-23 00:00:00,nil,nil,1011,0305303090,-92759,0
18915,VTZ,2010-02-23 00:00:00,nil,nil,1011,0305305000,-92761,0
18917,VTZ,2010-02-23 00:00:00,nil,nil,1011,0305309020,-92764,0
18919,VTZ,2010-02-23 00:00:00,nil,nil,1011,0305309030,-92768,0
18921,VTZ,2010-02-23 00:00:00,nil,nil,1011,0305309040,-92772,0
18923,VTZ,2010-02-23 00:00:00,nil,nil,1011,0305309050,-92774,0
18925,VTZ,2010-02-23 00:00:00,nil,nil,1011,0305309060,-92777,0
18927,VTZ,2010-02-23 00:00:00,nil,nil,1011,0305309070,-92784,0
18929,VTZ,2010-02-23 00:00:00,nil,nil,1011,0305309075,-92787,0
18931,VTZ,2010-02-23 00:00:00,nil,nil,1011,0305309080,-92789,0
18933,VTZ,2010-02-23 00:00:00,nil,nil,1011,0305309090,-92795,0
18935,VTZ,2007-10-01 00:00:00,nil,nil,1011,0305410010,-10951,0
18937,VTZ,2007-10-01 00:00:00,nil,nil,1011,0305410090,-10952,0
18939,VTZ,2011-04-01 00:00:00,nil,nil,1011,0305420000,-87988,0
18941,VTZ,2007-10-01 00:00:00,nil,nil,1011,0305491000,-10954,0
18943,VTZ,2007-10-01 00:00:00,nil,nil,1011,0305492000,-10955,0
18945,VTZ,2007-10-01 00:00:00,nil,nil,1011,0305493010,-10956,0
18947,VTZ,2007-10-01 00:00:00,nil,nil,1011,0305493090,-10957,0
18949,VTZ,2010-02-23 00:00:00,nil,nil,1011,0305494510,-92878,0
18951,VTZ,2010-02-23 00:00:00,nil,nil,1011,0305494590,-92879,0
18953,VTZ,2010-02-23 00:00:00,nil,nil,1011,0305495000,-92882,0
18955,VTZ,2007-10-01 00:00:00,nil,nil,1011,0305498010,-10961,0
18957,VTZ,2007-10-01 00:00:00,nil,nil,1011,0305498020,-10962,0
18959,VTZ,2010-02-23 00:00:00,nil,nil,1011,0305498030,-92887,0
18961,VTZ,2007-10-01 00:00:00,nil,nil,1011,0305498040,-10964,0
18963,VTZ,2007-10-01 00:00:00,nil,nil,1011,0305498050,-10965,0
18965,VTZ,2007-10-01 00:00:00,nil,nil,1011,0305498060,-10966,0
18967,VTZ,2007-10-01 00:00:00,nil,nil,1011,0305498090,-10967,0
18969,VTZ,2007-10-01 00:00:00,nil,nil,1011,0305511010,-10968,0
18971,VTZ,2007-10-01 00:00:00,nil,nil,1011,0305511020,-10969,0
18973,VTZ,2007-10-01 00:00:00,nil,nil,1011,0305511090,-10970,0
18975,VTZ,2007-10-01 00:00:00,nil,nil,1011,0305519010,-10971,0
18977,VTZ,2007-10-01 00:00:00,nil,nil,1011,0305519020,-10972,0
18979,VTZ,2007-10-01 00:00:00,nil,nil,1011,0305519030,-10973,0
18981,VTZ,2007-10-01 00:00:00,nil,nil,1011,0305591100,-10974,0
18983,VTZ,2007-10-01 00:00:00,nil,nil,1011,0305591900,-10975,0
18985,VTZ,2007-10-01 00:00:00,nil,nil,1011,0305593000,-10976,0
18987,VTZ,2007-10-01 00:00:00,nil,nil,1011,0305595000,-10977,0
18989,VTZ,2007-10-01 00:00:00,nil,nil,1011,0305597000,-10978,0
18991,VTZ,2007-10-01 00:00:00,nil,nil,1011,0305598010,-10979,0
18993,VTZ,2007-10-01 00:00:00,nil,nil,1011,0305598020,-10980,0
18995,VTZ,2007-10-01 00:00:00,nil,nil,1011,0305598030,-10981,0
18997,VTZ,2007-10-01 00:00:00,nil,nil,1011,0305598040,-10982,0
18999,VTZ,2007-10-01 00:00:00,nil,nil,1011,0305598045,-10983,0
19001,VTZ,2007-10-01 00:00:00,nil,nil,1011,0305598050,-10984,0
19003,VTZ,2007-10-01 00:00:00,nil,nil,1011,0305598061,-10985,0
19005,VTZ,2007-10-01 00:00:00,nil,nil,1011,0305598063,-10986,0
19007,VTZ,2007-10-01 00:00:00,nil,nil,1011,0305598065,-10987,0
19009,VTZ,2007-10-01 00:00:00,nil,nil,1011,0305598067,-10988,0
19011,VTZ,2007-10-01 00:00:00,nil,nil,1011,0305598070,-10989,0
19013,VTZ,2007-10-01 00:00:00,nil,nil,1011,0305598090,-10990,0
19015,VTZ,2007-10-01 00:00:00,nil,nil,1011,0305610000,-10991,0
19017,VTZ,2007-10-01 00:00:00,nil,nil,1011,0305620020,-10992,0
19019,VTZ,2007-10-01 00:00:00,nil,nil,1011,0305620025,-10993,0
19021,VTZ,2007-10-01 00:00:00,nil,nil,1011,0305620029,-10994,0
19023,VTZ,2007-10-01 00:00:00,nil,nil,1011,0305620050,-10995,0
19025,VTZ,2007-10-01 00:00:00,nil,nil,1011,0305620060,-10996,0
19027,VTZ,2007-10-01 00:00:00,nil,nil,1011,0305620090,-10997,0
19029,VTZ,2007-10-01 00:00:00,nil,nil,1011,0305630010,-10998,0
19031,VTZ,2007-10-01 00:00:00,nil,nil,1011,0305630090,-10999,0
19033,VTZ,2007-10-01 00:00:00,nil,nil,1011,0305691010,-11000,0
19035,VTZ,2007-10-01 00:00:00,nil,nil,1011,0305691090,-11001,0
19037,VTZ,2007-10-01 00:00:00,nil,nil,1011,0305693000,-11002,0
19039,VTZ,2007-10-01 00:00:00,nil,nil,1011,0305695000,-11003,0
19041,VTZ,2007-10-01 00:00:00,nil,nil,1011,0305698020,-11004,0
19043,VTZ,2007-10-01 00:00:00,nil,nil,1011,0305698030,-11005,0
19045,VTZ,2007-10-01 00:00:00,nil,nil,1011,0305698040,-11006,0
19047,VTZ,2007-10-01 00:00:00,nil,nil,1011,0305698050,-11007,0
19049,VTZ,2007-10-01 00:00:00,nil,nil,1011,0305698061,-11008,0
19051,VTZ,2010-02-23 00:00:00,nil,nil,1011,0305698063,-92893,0
19053,VTZ,2007-10-01 00:00:00,nil,nil,1011,0305698065,-11010,0
19055,VTZ,2007-10-01 00:00:00,nil,nil,1011,0305698067,-11011,0
19057,VTZ,2007-10-01 00:00:00,nil,nil,1011,0305698070,-11012,0
19059,VTZ,2007-10-01 00:00:00,nil,nil,1011,0305698090,-11013,0
19061,VTZ,2007-10-01 00:00:00,nil,nil,1011,0306111010,-11014,0
19063,VTZ,2007-10-01 00:00:00,nil,nil,1011,0306111090,-11015,0
19065,VTZ,2007-10-01 00:00:00,nil,nil,1011,0306119010,-11016,0
19067,VTZ,2007-10-01 00:00:00,nil,nil,1011,0306119090,-11017,0
19069,VTZ,2011-04-01 00:00:00,nil,nil,1011,0306121000,-87989,0
19071,VTZ,2011-03-02 00:00:00,nil,nil,1011,0306129010,-86981,0
19073,VTZ,2011-03-02 00:00:00,nil,nil,1011,0306129090,-86982,0
19075,VTZ,2010-02-23 00:00:00,nil,nil,1011,0306131010,-92912,0
19077,VTZ,2010-02-23 00:00:00,nil,nil,1011,0306131090,-92915,0
19079,VTZ,2010-02-23 00:00:00,nil,nil,1011,0306133000,-92919,0
19081,VTZ,2010-02-23 00:00:00,nil,nil,1011,0306134000,-92920,0
19083,VTZ,2010-02-23 00:00:00,nil,nil,1011,0306135000,-92924,0
19085,VTZ,2010-02-23 00:00:00,nil,nil,1011,0306138000,-92928,0
19087,VTZ,2007-10-01 00:00:00,nil,nil,1011,0306141000,-11027,0
19089,VTZ,2007-10-01 00:00:00,nil,nil,1011,0306143000,-11028,0
19091,VTZ,2009-02-01 00:00:00,nil,nil,1011,0306149000,-52595,0
19093,VTZ,2007-10-01 00:00:00,nil,nil,1011,0306191000,-11030,0
19095,VTZ,2010-02-23 00:00:00,nil,nil,1011,0306193000,-92969,0
19097,VTZ,2007-10-01 00:00:00,nil,nil,1011,0306199010,-11032,0
19099,VTZ,2007-10-01 00:00:00,nil,nil,1011,0306199090,-11033,0
19101,VTZ,2011-06-01 00:00:00,nil,nil,1011,0306210000,-88056,0
19103,VTZ,2007-10-01 00:00:00,nil,nil,1011,0306221000,-11035,0
19105,VTZ,2007-10-01 00:00:00,nil,nil,1011,0306229100,-11036,0
19107,VTZ,2007-10-01 00:00:00,nil,nil,1011,0306229900,-11037,0
19109,VTZ,2010-02-23 00:00:00,nil,nil,1011,0306231011,-92983,0
19111,VTZ,2010-02-23 00:00:00,nil,nil,1011,0306231020,-92986,0
19113,VTZ,2010-02-23 00:00:00,nil,nil,1011,0306231030,-92988,0
19115,VTZ,2010-02-23 00:00:00,nil,nil,1011,0306231091,-92991,0
19117,VTZ,2010-02-23 00:00:00,nil,nil,1011,0306231095,-92994,0
19119,VTZ,2010-02-23 00:00:00,nil,nil,1011,0306231096,-92998,0
19121,VTZ,2010-02-23 00:00:00,nil,nil,1011,0306231097,-93000,0
19123,VTZ,2010-02-23 00:00:00,nil,nil,1011,0306233100,-93003,0
19125,VTZ,2010-02-23 00:00:00,nil,nil,1011,0306233900,-93007,0
19127,VTZ,2010-02-23 00:00:00,nil,nil,1011,0306239000,-93009,0
19129,VTZ,2007-10-01 00:00:00,nil,nil,1011,0306243000,-11048,0
19131,VTZ,2007-10-01 00:00:00,nil,nil,1011,0306248000,-11049,0
19133,VTZ,2007-10-01 00:00:00,nil,nil,1011,0306291000,-11050,0
19135,VTZ,2010-02-23 00:00:00,nil,nil,1011,0306293000,-93076,0
19137,VTZ,2007-10-01 00:00:00,nil,nil,1011,0306299010,-11052,0
19139,VTZ,2007-10-01 00:00:00,nil,nil,1011,0306299020,-11053,0
19141,VTZ,2007-10-01 00:00:00,nil,nil,1011,0306299090,-11054,0
19143,VTZ,2010-02-23 00:00:00,nil,nil,1011,0307101000,-93079,0
19145,VTZ,2010-02-23 00:00:00,nil,nil,1011,0307109000,-93081,0
19147,VTZ,2007-10-01 00:00:00,nil,nil,1011,0307210010,-11057,0
19149,VTZ,2007-10-01 00:00:00,nil,nil,1011,0307210020,-11058,0
19151,VTZ,2007-10-01 00:00:00,nil,nil,1011,0307210090,-11059,0
19153,VTZ,2007-10-01 00:00:00,nil,nil,1011,0307291000,-11060,0
19155,VTZ,2007-10-01 00:00:00,nil,nil,1011,0307299010,-11061,0
19157,VTZ,2007-10-01 00:00:00,nil,nil,1011,0307299090,-11062,0
19159,VTZ,2007-10-01 00:00:00,nil,nil,1011,0307311000,-11063,0
19161,VTS,2011-01-04 00:00:00,nil,nil,1011,0307311000,-73217,0
19163,VTZ,2007-10-01 00:00:00,nil,nil,1011,0307319000,-11065,0
19165,VTS,2011-01-04 00:00:00,nil,nil,1011,0307319000,-73218,0
19167,VTZ,2011-06-24 00:00:00,nil,nil,1011,0307391000,-88064,0
19169,VTS,2011-08-01 00:00:00,nil,nil,1011,0307391000,-88422,0
19171,VTZ,2007-10-01 00:00:00,nil,nil,1011,0307399000,-11069,0
19173,VTS,2011-01-04 00:00:00,nil,nil,1011,0307399000,-73220,0
19175,VTZ,2007-10-01 00:00:00,nil,nil,1011,0307411000,-11071,0
19177,VTZ,2007-10-01 00:00:00,nil,nil,1011,0307419100,-11072,0
19179,VTZ,2007-10-01 00:00:00,nil,nil,1011,0307419900,-11073,0
19181,VTZ,2010-02-23 00:00:00,nil,nil,1011,0307490100,-93102,0
19183,VTZ,2007-10-01 00:00:00,nil,nil,1011,0307491100,-11075,0
19185,VTZ,2007-10-01 00:00:00,nil,nil,1011,0307491800,-11076,0
19187,VTZ,2007-10-01 00:00:00,nil,nil,1011,0307493100,-11077,0
19189,VTZ,2007-10-01 00:00:00,nil,nil,1011,0307493300,-11078,0
19191,VTZ,2007-10-01 00:00:00,nil,nil,1011,0307493500,-11079,0
19193,VTZ,2007-10-01 00:00:00,nil,nil,1011,0307493800,-11080,0
19195,VTZ,2007-10-01 00:00:00,nil,nil,1011,0307495100,-11081,0
19197,VTZ,2007-10-01 00:00:00,nil,nil,1011,0307495910,-11082,0
19199,VTZ,2007-10-01 00:00:00,nil,nil,1011,0307495920,-11083,0
19201,VTZ,2007-10-01 00:00:00,nil,nil,1011,0307495990,-11084,0
19203,VTZ,2007-10-01 00:00:00,nil,nil,1011,0307497100,-11085,0
19205,VTZ,2007-10-01 00:00:00,nil,nil,1011,0307499100,-11086,0
19207,VTZ,2007-10-01 00:00:00,nil,nil,1011,0307499900,-11087,0
19209,VTZ,2007-10-01 00:00:00,nil,nil,1011,0307510000,-11088,0
19211,VTZ,2007-10-01 00:00:00,nil,nil,1011,0307591000,-11089,0
19213,VTZ,2007-10-01 00:00:00,nil,nil,1011,0307599000,-11090,0
19215,VTS,2011-01-04 00:00:00,nil,nil,1011,0307600000,-73221,0
19217,VTZ,2010-02-23 00:00:00,nil,nil,1011,0307600000,-93112,0
19219,VTZ,2009-02-01 00:00:00,nil,nil,1011,0307910000,-52603,0
19221,VTZ,2007-10-01 00:00:00,nil,nil,1011,0307991110,-11094,0
